Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
2M6.F,Medtronic plc,80.80,-0.48,-0.59%,682,"1,495",111.266B,31.94
4S0.F,"ServiceNow, Inc.",525.00,+4.00,+0.77%,40,39,111.086B,293.30
TRVC.F,Citigroup Inc.,44.92,+0.46,+1.03%,89,365,88.349B,6.72
AMG.DE,Amgen Inc.,206.40,+1.20,+0.58%,294,410,110.731B,14.99
AMG.F,Amgen Inc.,206.00,+0.20,+0.10%,65,207,110.194B,14.63
2M6.DE,Medtronic plc,80.48,-1.10,-1.35%,"2,777","1,678",110.139B,31.44
HDFA.F,HDFC Bank Limited,59.00,-0.50,-0.84%,210,25,109.922B,24.28
PZXB.F,"Ping An Insurance (Group) Company of China, Ltd.",11.80,-0.30,-2.48%,250,75,109.719B,8.37
CWW.F,Commonwealth Bank of Australia,61.65,+0.72,+1.18%,150,89,104.272B,16.94
IXD1.F,"Industria de Diseño Textil, S.A.",34.82,+0.77,+2.26%,73,331,108.859B,23.69
AP2.F,"Applied Materials, Inc.",127.96,-1.70,-1.31%,23,114,108.439B,18.15
M4B.F,"China Merchants Bank Co., Ltd.",4.3450,+0.0170,+0.39%,20,51,108.35B,6.12
SRB.F,Starbucks Corporation,93.10,+1.10,+1.20%,120,209,108.239B,32.67
DCO.F,Deere & Company,368.30,-0.70,-0.19%,33,108,108.239B,13.36
AP2.DE,"Applied Materials, Inc.",127.96,-2.00,-1.54%,256,779,108.189B,18.36
DCO.DE,Deere & Company,369.00,-2.90,-0.78%,59,361,108.188B,13.21
SRB.DE,Starbucks Corporation,92.50,+0.50,+0.54%,383,794,107.541B,32.34
SRB0.F,Starbucks Corporation,20.00,+0.10,+0.50%,2,0,107.497B,6.85
LOM.DE,Lockheed Martin Corporation,417.40,+1.70,+0.41%,370,358,106.665B,20.79
IUI1.F,"Intuitive Surgical, Inc.",300.30,+4.00,+1.35%,86,65,106.343B,87.30
IXD2.F,"Industria de Diseño Textil, S.A.",16.50,-0.10,-0.60%,1,0,105.811B,21.71
LOM.F,Lockheed Martin Corporation,414.50,-2.10,-0.50%,27,90,105.695B,20.56
SOBA.DE,AT&T Inc.,14.69,-0.01,-0.10%,"21,201","23,963",104.983B,N/A
GCP.F,General Electric Company,95.20,-1.20,-1.24%,279,635,104.363B,14.42
1NBA.F,Anheuser-Busch InBev SA/NV,52.67,+0.37,+0.71%,735,795,102.806B,15.09
SOBA.F,AT&T Inc.,14.55,-0.12,-0.82%,"5,364","4,703",104.103B,N/A
ITKA.F,Anheuser-Busch InBev SA/NV,52.00,+1.00,+1.96%,"1,295",103,104.085B,15.25
CWW0.F,Commonwealth Bank of Australia,61.00,+1.00,+1.67%,9,0,104.772B,17.28
GOS0.F,"The Goldman Sachs Group, Inc.",11.90,-0.10,-0.83%,"2,000",4,103.413B,0.45
1NBA.DE,Anheuser-Busch InBev SA/NV,53.05,+0.64,+1.22%,"6,792","4,341",103.33B,15.29
AIR.DE,Airbus SE,129.86,+0.30,+0.23%,"165,883","279,642",103.298B,29.65
AIR.F,Airbus SE,129.52,+0.50,+0.39%,643,943,103.252B,29.64
AIRA.F,Airbus SE,31.80,-0.20,-0.63%,160,133,102.783B,29.17
BPE.F,BP p.l.c.,5.36,0.00,0.00%,"2,036","4,044",102.568B,4.22
RIOA.F,Rio Tinto Group,61.20,+0.80,+1.32%,27,104,102.518B,8.50
9MD.F,Meituan,15.90,+0.62,+4.02%,"1,870","1,966",97.806B,317.90
SYK.F,Stryker Corporation,268.90,-3.00,-1.10%,90,296,102.154B,40.38
BBN1.F,Blackstone Inc.,82.20,-0.60,-0.72%,30,146,101.725B,112.60
