Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
KUY.F,"Kuraray Co., Ltd.",8.95,+0.05,+0.56%,27,0,3.11B,9.13
SDF.F,K+S Aktiengesellschaft,15.81,+0.29,+1.87%,646,"3,256",3.106B,2.12
SDF.DE,K+S Aktiengesellschaft,15.78,+0.22,+1.45%,"395,157",1.294M,3.107B,2.12
SDF1.SG,K+S Aktiengesellschaft,7.70,+0.20,+2.67%,0,27,3.103B,2.03
SDF1.F,K+S Aktiengesellschaft,7.55,+0.20,+2.72%,150,28,3.083B,2.02
AKTA.F,PT Aneka Tambang Tbk,0.1110,0.0000,0.00%,"1,500",514,3.071B,11.10
WIBA.F,Wienerberger AG,5.50,0.00,0.00%,500,0,3.069B,5.34
WIBA.MU,Wienerberger AG,5.50,0.00,0.00%,60,0,3.069B,5.34
IY4.F,Imerys S.A.,35.56,+0.18,+0.51%,30,122,3.038B,17.43
WIB.DE,Wienerberger AG,28.52,0.00,0.00%,330,867,3.03B,5.51
WIB.F,Wienerberger AG,28.08,-0.34,-1.20%,103,243,2.977B,5.47
SSF.F,Sensient Technologies Corporation,68.50,+1.00,+1.48%,15,0,2.922B,23.06
HCL.DE,Hecla Mining Company,4.7600,0.0000,0.00%,"5,228","3,764",2.916B,N/A
RC0.F,"Huaxin Cement Co., Ltd.",0.7600,-0.0050,-0.65%,20,26,2.902B,5.43
C44.F,China Resources Cement Holdings Limited,0.3855,+0.0110,+2.94%,"2,086",265,2.886B,12.85
HCL.F,Hecla Mining Company,4.7100,0.0000,0.00%,700,"1,285",2.886B,N/A
HQK.F,Boral Limited,2.5600,0.0000,0.00%,"1,017",11,2.875B,128.00
LX9B.F,LANXESS Aktiengesellschaft,6.30,+0.05,+0.80%,5,19,2.86B,21.00
LXS.DE,LANXESS Aktiengesellschaft,32.93,0.00,0.00%,"58,568","299,819",2.843B,21.81
LXS.F,LANXESS Aktiengesellschaft,32.86,-0.11,-0.33%,200,564,2.837B,21.76
BC0.F,Boise Cascade Company,71.35,+0.30,+0.42%,150,0,2.825B,4.62
7JR.F,Northam Platinum Holdings Limited,7.10,-0.10,-1.39%,66,5,2.792B,4.64
MUG.F,"Mitsubishi Gas Chemical Company, Inc.",13.30,-0.20,-1.48%,40,0,2.791B,7.60
0AW.F,Air Water Inc.,12.10,-0.20,-1.63%,63,4,2.762B,10.80
VBK.F,VERBIO Vereinigte BioEnergie AG,41.96,+0.19,+0.45%,747,714,2.745B,11.19
ZSV.F,SSR Mining Inc.,12.94,-0.06,-0.46%,231,391,2.724B,20.22
SWD.F,Resonac Holdings Corporation,14.80,+0.10,+0.68%,121,9,2.709B,12.98
HAM.F,Harmony Gold Mining Company Limited,4.1600,0.0000,0.00%,"3,850",859,2.7B,N/A
N3Y.F,Nine Dragons Paper (Holdings) Limited,0.5450,+0.0050,+0.93%,"2,000",208,2.681B,N/A
VBK.DE,VERBIO Vereinigte BioEnergie AG,42.21,0.00,0.00%,"45,489","163,973",2.676B,10.88
9BM.F,BBMG Corporation,0.0950,0.0000,0.00%,"2,000",35,2.667B,9.50
OMS1.F,MMG Limited,0.2900,+0.0080,+2.84%,"3,000",900,2.655B,14.50
97S.F,Stella-Jones Inc.,44.80,-3.00,-6.28%,55,2,2.652B,14.64
MX5.F,Methanex Corporation,38.60,+0.46,+1.21%,70,2,2.634B,10.24
WMC1.F,Alumina Limited,0.8460,+0.0090,+1.08%,"1,114",223,2.5B,28.20
OM4.F,Osisko Gold Royalties Ltd,13.92,-0.22,-1.56%,450,492,2.59B,42.18
TEZ.F,Tessenderlo Group NV,29.95,+0.30,+1.01%,1,7,2.589B,5.75
ER7.F,ERAMET S.A.,90.10,-0.70,-0.77%,75,23,2.588B,2.91
ER7.DE,ERAMET S.A.,90.35,0.00,0.00%,65,20,2.588B,2.83
ER70.F,ERAMET S.A.,8.60,-0.10,-1.15%,126,0,2.587B,2.79
ZSV1.F,SSR Mining Inc.,12.30,-0.30,-2.38%,230,77,2.585B,18.64
IKP.F,PT Indah Kiat Pulp & Paper Tbk,0.4600,-0.0180,-3.77%,"15,000",0,2.582B,3.07
HAM1.F,Harmony Gold Mining Company Limited,4.1400,-0.0300,-0.72%,100,"7,739",2.58B,N/A
KEM.F,Kemira Oyj,16.02,-0.15,-0.93%,680,50,2.578B,8.85
F1YN.F,Lundin Gold Inc.,10.74,-0.08,-0.74%,"1,000",450,2.577B,27.54
ACE1.F,"Acerinox, S.A.",10.03,-0.07,-0.64%,510,68,2.566B,5.94
3Y0.MU,Triple Flag Precious Metals Corp.,12.70,-0.50,-3.79%,5,252,2.563B,40.97
WMC.F,Alumina Limited,3.2600,-0.0200,-0.61%,187,7,2.4B,25.08
P2C.F,PT Avia Avian Tbk,0.0390,-0.0010,-2.50%,N/A,0,2.53B,N/A
WD1.F,WD-40 Company,185.00,0.00,0.00%,6,0,2.528B,44.90
ACE.F,"Acerinox, S.A.",4.8400,-0.0400,-0.82%,400,7,2.516B,5.63
SMS2.F,PT Semen Indonesia (Persero) Tbk,0.3520,-0.0040,-1.12%,"10,000",178,2.499B,17.60
OUTA.F,Outokumpu Oyj,5.52,-0.00,-0.04%,"1,600",496,2.468B,2.86
VACD.F,Vallourec S.A.,10.41,+0.12,+1.17%,115,189,2.412B,N/A
9DC.SG,Daicel Corporation,8.20,-0.15,-1.80%,0,31,2.386B,9.53
VACE.F,Vallourec S.A.,1.9900,-0.0100,-0.50%,130,0,2.363B,N/A
7AA.F,Aperam S.A.,32.62,-0.62,-1.87%,668,51,2.355B,4.13
QOL.SG,SOL S.p.A.,24.45,+0.40,+1.66%,0,11,2.345B,16.86
FLQ.F,Fletcher Building Limited,2.8800,+0.0200,+0.70%,"2,256",76,2.311B,12.00
PO9.F,"The Navigator Company, S.A.",3.2300,+0.0320,+1.00%,300,211,2.297B,5.57
YM9A.F,Maanshan Iron & Steel Company Limited,0.1530,-0.0230,-13.07%,"1,701",368,2.292B,N/A
3OK.F,Constellium SE,15.20,0.00,0.00%,70,17,2.238B,14.90
OCT.F,Innospec Inc.,90.50,-1.50,-1.63%,20,1,2.266B,18.97
TIE.F,Taiheiyo Cement Corporation,18.20,-0.10,-0.55%,190,5,2.247B,N/A
MUJ.F,Mitsubishi Materials Corporation,16.40,-0.20,-1.20%,300,5,2.188B,N/A
7FH.F,Tecnoglass Inc.,44.40,+3.20,+7.77%,18,60,2.13B,12.44
BEM.F,Materion Corporation,101.00,-1.00,-0.98%,50,3,2.12B,23.88
EB9.F,African Rainbow Minerals Limited,10.80,+0.10,+0.93%,816,243,2.117B,3.12
2FC.F,Filo Mining Corp.,16.44,+0.36,+2.24%,250,36,2.139B,N/A
T18.F,China Tianrui Group Cement Company Limited,0.6950,-0.0050,-0.71%,100,1,2.108B,34.75
MMPI.F,Champion Iron Limited,3.9290,0.0000,0.00%,"18,333",345,2.07B,14.55
ITP.F,PT Indocement Tunggal Prakarsa Tbk,0.5850,-0.0100,-1.68%,"4,160",74,2.054B,14.62
7BF.F,Royal Bafokeng Platinum Limited,6.70,+0.05,+0.75%,120,2,2.009B,11.55
ACCA.F,"Arch Resources, Inc.",103.15,+2.85,+2.84%,13,4,1.966B,1.90
96S.F,Stepan Company,88.00,+0.50,+0.57%,110,4,1.966B,18.18
SZGA.F,Salzgitter AG,3.4200,-0.0400,-1.16%,30,32,1.96B,2.14
27A.F,"ALPEK, S.A.B. de C.V.",0.9250,-0.0050,-0.54%,"12,500","1,640",1.949B,4.02
3CW.F,Nippon Steel Trading Corporation,58.50,0.00,0.00%,54,0,1.948B,7.34
SZG.F,Salzgitter AG,35.40,+0.16,+0.45%,15,347,1.926B,2.18
SZG.DE,Salzgitter AG,35.24,-0.18,-0.51%,"9,199","126,691",1.906B,2.14
SZGA.SG,Salzgitter AG,3.2800,-0.0400,-1.20%,0,0,1.902B,2.00
NM5.F,Nickel Industries Limited,0.6070,+0.0440,+7.82%,"25,000",867,1.875B,12.14
I8MA.F,Sims Limited,9.55,+0.10,+1.06%,20,9,1.865B,6.82
I8M.F,Sims Limited,9.60,+0.14,+1.44%,"1,271",53,1.854B,6.57
T5X.F,Tronox Holdings plc,11.50,0.00,0.00%,50,7,1.842B,3.72
45Y.F,China Risun Group Limited,0.4100,0.0000,0.00%,200,0,1.854B,8.20
NZE.F,Zeon Corporation,8.60,-0.25,-2.82%,105,1,1.799B,11.17
BNF.F,Billerud AB (publ),7.22,-0.02,-0.28%,150,106,1.792B,4.54
G3V.F,Green Plains Inc.,29.77,-0.18,-0.60%,100,20,1.792B,N/A
S2Z.F,Sandfire Resources Limited,3.8720,+0.1900,+5.16%,"2,646",82,1.791B,N/A
ELO1.F,Eldorado Gold Corporation,9.02,-0.04,-0.44%,115,"1,464",1.773B,128.79
IGX.F,Ingevity Corporation,48.60,-0.40,-0.82%,40,1,1.766B,9.74
7TC.F,"Tokai Carbon Co., Ltd.",8.20,+0.10,+1.23%,125,6,1.765B,11.55
E0B.F,Ero Copper Corp.,18.70,+0.20,+1.08%,121,46,1.756B,21.74
NKC.F,Canfor Corporation,14.42,-0.04,-0.28%,450,4,1.74B,21.85
3N4.SG,China Nonferrous Mining Corporation Limited,0.4640,+0.0020,+0.43%,0,0,1.735B,6.63
U1S0.F,Usinas Siderúrgicas de Minas Gerais S.A.,1.3000,+0.0200,+1.56%,"1,000",17,1.729B,10.00
88L.MU,Sylvamo Corporation,40.02,+0.14,+0.35%,36,0,1.728B,4.97
SZ8.MU,Sumitomo Bakelite Company Limited,36.40,-0.60,-1.62%,10,0,1.726B,14.22
DMI.F,"Dowa Holdings Co., Ltd.",29.00,-0.40,-1.36%,20,10,1.726B,6.86
0QE.F,Coronado Global Resources Inc.,0.9200,+0.0300,+3.37%,"1,807",628,1.725B,2.14
88L.F,Sylvamo Corporation,39.90,-0.06,-0.15%,22,0,1.722B,4.91
MBU.F,Compañía de Minas Buenaventura S.A.A.,6.70,0.00,0.00%,500,19,1.717B,3.33
C8U.F,Chalice Mining Limited,4.4050,+0.0650,+1.50%,20,918,1.701B,N/A
WJ4.F,"Warrior Met Coal, Inc.",32.52,-0.28,-0.85%,70,3,1.707B,2.72
0R7.SG,Robertet SA,818.00,-4.00,-0.49%,0,0,1.707B,21.97
0R7.F,Robertet SA,818.00,+4.00,+0.49%,10,0,1.707B,21.74
U1S1.F,Usinas Siderúrgicas de Minas Gerais S.A.,1.3800,-0.0100,-0.72%,"2,569",845,1.691B,9.86
MNK.F,Minerals Technologies Inc.,51.50,0.00,0.00%,10,0,1.676B,15.65
KKA.F,Kaneka Corporation,24.80,-0.40,-1.59%,238,6,1.661B,10.60
S0K.F,Stelco Holdings Inc.,29.80,-0.40,-1.32%,125,4,1.643B,3.72
DPN.F,DIC Corporation,16.60,-0.10,-0.60%,58,1,1.617B,19.53
CGP.F,Chongqing Iron & Steel Company Limited,0.0850,+0.0025,+3.03%,800,28,1.617B,N/A
UBE.F,UBE Corporation,15.60,-0.10,-0.64%,63,1,1.59B,44.57
JI3.F,China Gold International Resources Corp. Ltd.,3.8400,0.0000,0.00%,"3,000","1,463",1.561B,7.25
DDL.F,"Daido Steel Co., Ltd.",35.60,-0.40,-1.11%,75,4,1.56B,6.67
S0D.F,Stanmore Resources Limited,1.6900,+0.1300,+8.33%,"1,810",236,1.555B,2.32
ADG.F,AMG Critical Materials N.V.,48.64,-0.30,-0.61%,50,211,1.554B,7.81
LEN.DE,Lenzing Aktiengesellschaft,55.30,-4.90,-8.14%,801,187,1.547B,N/A
P4Q.F,Perseus Mining Limited,1.0940,+0.0300,+2.82%,"9,700","12,063",1.532B,7.81
CSUA.F,Corbion N.V.,25.80,+0.28,+1.10%,225,38,1.529B,17.09
CSU.F,Corbion N.V.,25.40,+0.20,+0.79%,100,0,1.528B,16.82
LEN.F,Lenzing Aktiengesellschaft,54.00,-5.50,-9.24%,129,75,1.521B,N/A
BO4.SG,Borregaard ASA,15.18,-0.18,-1.17%,20,4,1.514B,19.22
BO4.F,Borregaard ASA,15.16,-0.16,-1.04%,"3,500",62,1.512B,19.19
NGR.F,NovaGold Resources Inc.,4.5000,-0.1200,-2.60%,250,72,1.505B,N/A
4D3.F,Dongyue Group Limited,0.6500,0.0000,0.00%,"1,500",62,1.504B,3.10
1OY.SG,Victrex plc,16.60,0.00,0.00%,0,8,1.491B,17.66
1OY.F,Victrex plc,16.60,0.00,0.00%,400,35,1.491B,17.47
DIK.F,Denka Company Limited,16.70,-0.10,-0.60%,20,0,1.472B,18.15
1DP.F,Elkem ASA,2.2540,-0.0120,-0.53%,"1,200",291,1.461B,2.15
FMV.F,First Majestic Silver Corp.,5.15,+0.04,+0.70%,"1,520","3,021",1.428B,N/A
AYS1.F,Sandstorm Gold Ltd.,4.6520,-0.2280,-4.67%,"5,000",690,1.427B,13.68
8LN.F,Loma Negra Compañía Industrial Argentina Sociedad Anónima,5.80,0.00,0.00%,230,4,1.392B,290.00
SCD1.F,Shandong Chenming Paper Holdings Limited,0.2700,+0.0020,+0.75%,"10,000",0,1.385B,N/A
LMP.F,Lee & Man Paper Manufacturing Limited,0.2860,0.0000,0.00%,"2,242",0,1.382B,9.53
DGD.F,De Grey Mining Limited,0.8280,+0.0464,+5.94%,"10,000","1,916",1.372B,N/A
CQB0.F,Breedon Group plc,3.9900,-0.0600,-1.48%,N/A,9,1.352B,10.23
NP7.F,"Nippon Kayaku Co., Ltd.",7.90,-0.15,-1.86%,125,2,1.35B,10.82
TM4C.F,Theme International Holdings Limited,0.0970,-0.0020,-2.02%,"6,599",0,1.349B,9.70
V4S.F,Vesuvius plc,4.9000,0.0000,0.00%,200,33,1.342B,6.05
RQQ.F,OceanaGold Corporation,1.8780,-0.0450,-2.34%,"1,300",441,1.337B,17.07
AS4.F,"Corticeira Amorim, S.G.P.S., S.A.",9.92,-0.04,-0.40%,"2,000",156,1.329B,12.88
CM8.F,"Compass Minerals International, Inc.",32.00,+0.20,+0.63%,40,15,1.316B,N/A
GQ2.F,Grupa Kety S.A.,135.10,+4.60,+3.52%,30,4,1.304B,8.97
0OE.F,Orion S.A.,22.00,0.00,0.00%,"2,500",44,1.295B,12.50
1LRC.F,Equinox Gold Corp.,4.1300,-0.0050,-0.12%,300,"2,810",1.291B,N/A
FFO1.F,Fufeng Group Limited,0.4820,+0.0020,+0.42%,444,52,1.278B,2.41
OCKA.F,Hudbay Minerals Inc.,4.6660,+0.0740,+1.61%,209,32,1.27B,93.32
IAL.F,IAMGOLD Corporation,2.5580,+0.0180,+0.71%,"1,000",751,1.26B,N/A
7CT.F,Centamin plc,1.0780,+0.0110,+1.03%,"2,250",581,1.255B,17.97
AS4.SG,"Corticeira Amorim, S.G.P.S., S.A.",9.67,-0.15,-1.53%,0,18,1.313B,16.67
FFO1.MU,Fufeng Group Limited,0.4940,0.0000,0.00%,"1,800",32,1.253B,2.47
TCJ.F,Titan Cement International S.A.,16.72,-0.12,-0.71%,25,6,1.251B,10.52
4HM.F,Vicat S.A.,27.80,+0.05,+0.18%,56,18,1.237B,7.92
J2S.F,Jastrzebska Spólka Weglowa S.A.,9.91,-0.07,-0.70%,29,21,1.233B,0.74
AM8.F,AMAG Austria Metall AG,34.10,+1.00,+3.02%,100,29,1.231B,11.14
7CX.F,Core Lithium Ltd,0.6450,+0.0308,+5.01%,"3,779","5,143",1.218B,N/A
7CX.SG,Core Lithium Ltd,0.6462,+0.0254,+4.09%,"62,000","2,435",1.207B,N/A
FU7.F,Shougang Fushan Resources Group Limited,0.2360,0.0000,0.00%,"2,048",73,1.206B,3.93
GOU.F,Centerra Gold Inc.,5.48,+0.05,+1.00%,2,115,1.201B,N/A
DPR.F,Daio Paper Corporation,7.05,-0.10,-1.40%,40,1,1.201B,N/A
E6Q.F,Gold Road Resources Limited,1.0850,+0.0250,+2.36%,"1,200",685,1.197B,27.13
NUF.F,Nufarm Limited,3.1200,+0.0200,+0.65%,775,0,1.195B,12.00
R9GA.F,Patriot Battery Metals Inc.,12.05,+1.15,+10.55%,"1,400","1,081",1.186B,N/A
R9G.SG,Patriot Battery Metals Inc.,1.2000,+0.0800,+7.14%,0,283,1.176B,N/A
R9G.F,Patriot Battery Metals Inc.,1.2100,+0.0800,+7.08%,330,683,1.176B,N/A
SPI.F,Sappi Limited,2.0200,+0.0300,+1.51%,300,"2,335",1.173B,2.69
OB9.F,PT Pabrik Kertas Tjiwi Kimia Tbk,0.3500,-0.0100,-2.78%,"4,807",0,1.171B,2.92
DPU.F,Dundee Precious Metals Inc.,6.18,-0.18,-2.86%,997,973,1.166B,22.90
CEY2.F,Huabao International Holdings Limited,0.3520,-0.0020,-0.56%,"2,750",57,1.164B,N/A
CEY.F,Huabao International Holdings Limited,17.20,-0.10,-0.58%,N/A,0,1.164B,N/A
BUR.F,PT Bumi Resources Minerals Tbk,0.0060,0.0000,0.00%,"49,000","1,589",1.157B,N/A
MQ8.F,MAG Silver Corp.,11.24,-0.02,-0.18%,4,128,1.157B,59.16
3PC.F,Cementir Holding N.V.,7.15,-0.02,-0.28%,103,38,1.149B,6.16
PQGA.F,Ecovyst Inc.,9.75,0.00,0.00%,50,0,1.145B,23.21
DML.F,Sayona Mining Limited,0.1099,+0.0029,+2.71%,"25,000","66,104",1.132B,N/A
73GN.F,Torex Gold Resources Inc.,13.13,-0.52,-3.81%,67,239,1.128B,5.68
TBT.F,Tokuyama Corporation,15.40,-0.20,-1.28%,60,4,1.125B,6.91
6S3A.F,Piedmont Lithium Inc.,0.5660,+0.0180,+3.28%,"9,080","11,050",1.111B,N/A
O8M.F,Orla Mining Ltd.,3.5180,+0.0120,+0.34%,250,132,1.101B,31.98
RY5.SG,Siam City Cement Public Company Limited,3.3000,-0.0200,-0.60%,0,0,1.089B,20.62
6S3.F,Piedmont Lithium Inc.,56.70,+0.40,+0.71%,8,36,1.088B,N/A
0K1.F,Kureha Corporation,54.00,-0.50,-0.92%,199,5,1.083B,8.64
SQQ1.F,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.",13.32,+0.02,+0.15%,210,8,1.077B,3.30
SGL.DE,SGL Carbon SE,8.60,+0.02,+0.17%,"9,599","136,748",1.076B,9.05
SGL.F,SGL Carbon SE,8.57,+0.02,+0.23%,150,"1,004",1.068B,9.02
SQQ1.SG,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.",13.12,-0.10,-0.76%,0,3,1.064B,3.24
FDD.F,Pilkington Deutschland AG,388.00,0.00,0.00%,18,1,1.057B,N/A
KLU1.F,Kaiser Aluminum Corporation,64.50,0.00,0.00%,3,7,1.031B,N/A
MGM.F,Capricorn Metals Ltd,2.6400,+0.1400,+5.60%,132,112,1.024B,22.00
ULI.F,"United States Lime & Minerals, Inc.",175.00,-1.00,-0.57%,1,0,1.01B,19.77
57T.F,LINTEC Corporation,14.30,0.00,0.00%,106,0,1.009B,10.36
GHO.F,Adbri Limited,1.4500,-0.0800,-5.23%,27,0,973.073M,14.50
FDD.HM,Pilkington Deutschland AG,370.00,-20.00,-5.13%,30,4,1.003B,N/A
H1Q.F,China BlueChemical Ltd.,0.2240,0.0000,0.00%,"7,000",671,990.629M,4.48
9NI.F,"Nippon Paper Industries Co., Ltd.",7.90,0.00,0.00%,8,1,967.379M,N/A
CDM1.DE,"Coeur Mining, Inc.",2.8760,+0.0040,+0.14%,"2,800","9,957",957.812M,N/A
HPE.F,Hokuetsu Corporation,5.55,-0.10,-1.77%,200,0,955.494M,55.50
K1W.F,"Kronos Worldwide, Inc.",8.25,-0.10,-1.20%,100,164,949.228M,31.73
SRM.MU,Seabridge Gold Inc.,11.50,-0.15,-1.29%,180,6,947.585M,N/A
DUBA.F,DRDGOLD Limited,10.70,0.00,0.00%,30,206,941.614M,16.46
DUB1.F,DRDGOLD Limited,1.0600,-0.0100,-0.93%,30,"4,344",941.531M,15.14
CDM1.F,"Coeur Mining, Inc.",2.8220,+0.0080,+0.28%,201,"1,310",939.828M,N/A
SRM.SG,Seabridge Gold Inc.,11.35,+0.25,+2.25%,0,166,935.225M,N/A
9GR.F,Gränges AB (publ),8.71,-0.02,-0.23%,38,0,932.806M,14.76
KCO.F,Klöckner & Co SE,9.27,+0.14,+1.48%,"32,515","1,377",931.216M,12.87
SRM.F,Seabridge Gold Inc.,11.30,-0.05,-0.44%,220,97,931.105M,N/A
5FG.F,Ferroglobe PLC,4.7600,-0.0600,-1.24%,"3,500",78,921.407M,3.05
92K.F,K92 Mining Inc.,3.9670,-0.0890,-2.19%,307,563,927.695M,36.06
RKQ.F,Regis Resources Limited,1.2000,+0.0335,+2.87%,"1,600",927,926.053M,N/A
KCO.DE,Klöckner & Co SE,9.17,-0.14,-1.45%,"20,755","266,210",914.708M,12.92
18RA.F,"Select Water Solutions, Inc.",7.25,-0.05,-0.68%,50,10,892.99M,14.22
RRZ.F,Ramelius Resources Limited,0.8938,+0.0364,+4.25%,516,942,903.382M,N/A
CE2.F,CropEnergies AG,10.34,+0.02,+0.19%,25,558,901.765M,4.56
NVA1.MU,Vinythai Public Company Limited,0.7600,0.0000,0.00%,"25,000",0,900.744M,4.47
CE2.DE,CropEnergies AG,10.32,+0.02,+0.19%,"6,425","62,294",900.021M,4.59
ACJ.F,"Altri, SGPS, S.A.",4.2180,+0.1020,+2.48%,"1,500",27,896.055M,5.78
F4S.F,Fortuna Silver Mines Inc.,3.0300,-0.0060,-0.20%,600,"4,093",890.753M,N/A
8IF1.F,Interfor Corporation,15.70,+0.10,+0.64%,75,12,809.035M,6.02
960.F,AdvanSix Inc.,32.20,0.00,0.00%,89,0,887.58M,6.90
6OL.F,"Perimeter Solutions, SA",5.55,-0.20,-3.48%,175,822,882.833M,16.82
F4M.F,UACJ Corporation,17.80,+0.30,+1.71%,75,0,878.416M,7.84
WCQ1.F,Sinofert Holdings Limited,0.1180,-0.0030,-2.48%,"4,000",0,868.324M,5.90
1B7N.F,Osisko Mining Inc.,2.1950,+0.0050,+0.23%,"2,900",430,843.089M,N/A
EY3.F,Century Aluminum Company,8.89,-0.20,-2.22%,280,0,852.366M,N/A
21L.F,Alphamin Resources Corp.,0.6120,+0.0370,+6.43%,"2,487",46,846.653M,12.24
2XM.F,NGEx Minerals Ltd.,4.7150,-0.0100,-0.21%,"2,000",288,860.77M,N/A
SS1A.F,"Schnitzer Steel Industries, Inc.",29.73,-0.28,-0.93%,20,0,824.52M,12.87
MH2.F,"Mativ Holdings, Inc.",14.80,0.00,0.00%,"1,000",33,820.583M,N/A
S0C.F,SilverCrest Metals Inc.,5.45,-0.07,-1.27%,"2,000",169,808.769M,13.97
SU2.F,"Sumitomo Osaka Cement Co., Ltd.",23.20,-0.60,-2.52%,52,0,805.369M,N/A
40A.F,"Toho Titanium Co., Ltd.",11.20,-0.10,-0.88%,40,1,797.133M,18.06
WX0.F,Leo Lithium Limited,0.6640,+0.0515,+8.41%,"1,643","10,359",795.253M,16.60
1QG.F,Marshalls plc,3.1000,-0.0800,-2.52%,"1,096",0,788.742M,22.14
NVP5.F,Tipco Asphalt Public Company Limited,0.4840,0.0000,0.00%,20,0,784.835M,8.07
TPY1.F,Tipco Asphalt Public Company Limited,0.4820,0.0000,0.00%,90,0,784.768M,8.03
5QG.F,New Found Gold Corp.,4.3600,-0.1000,-2.24%,200,147,783.671M,N/A
23U.SG,Bushveld Minerals Limited,0.0330,-0.0005,-1.49%,0,357,76.815M,2.54
ZS2.F,TimkenSteel Corporation,17.50,+0.10,+0.57%,30,0,776.797M,20.35
WX0.MU,Leo Lithium Limited,0.6465,+0.0370,+6.07%,500,"1,345",774.294M,16.16
TO5.F,"Toyo Ink SC Holdings Co., Ltd.",14.10,-0.20,-1.40%,48,0,767.409M,17.20
XV6.F,Enviva Inc.,10.18,0.00,0.00%,99,61,756.977M,N/A
ENCA.F,"ENCE Energía y Celulosa, S.A.",3.0200,+0.0160,+0.53%,"5,160",589,752.134M,2.99
ACJ.MU,"Altri, S.G.P.S., S.A.",4.2140,+0.0540,+1.30%,350,6,592.025M,N/A
NVP6.F,TPI Polene Public Company Limited,0.0375,0.0000,0.00%,100,0,748.433M,3.75
YTAA.F,Sri Trang Agro-Industry Public Company Limited,0.5000,+0.0040,+0.81%,223,4,748.175M,8.33
E3E.F,Elementis plc,1.2300,0.0000,0.00%,200,4,742.492M,N/A
RKVA.F,Wesdome Gold Mines Ltd.,4.9300,-0.0600,-1.20%,"1,000","1,413",730.498M,N/A
9ZY.F,Algoma Steel Group Inc.,7.00,-0.10,-1.41%,215,26,724.976M,3.68
0G4.F,Bioceres Crop Solutions Corp.,11.10,+0.10,+0.91%,75,1,729.183M,55.50
S5M.F,"OSAKA Titanium technologies Co.,Ltd.",19.10,-0.90,-4.50%,250,20,709.613M,955.00
B8Y.F,Boss Energy Limited,1.9485,+0.0285,+1.48%,578,309,709.034M,97.43
VTM.F,Altius Minerals Corporation,14.76,-0.25,-1.67%,150,27,703.087M,34.33
2I5.F,Ibstock plc,1.7880,-0.0500,-2.72%,400,0,702.398M,7.15
LS3.F,"LSB Industries, Inc.",9.17,-0.08,-0.86%,304,18,698.104M,4.45
S8F.F,SolGold Plc,0.2180,+0.0010,+0.46%,"2,700",139,683.711M,N/A
ST5.F,STEICO SE,45.25,-1.20,-2.58%,455,207,674.596M,13.39
S5L.F,Standard Lithium Ltd.,3.8200,-0.1100,-2.80%,"1,620","19,059",670.41M,N/A
4OJ.F,Asia Cement (China) Holdings Corporation,0.4220,-0.0080,-1.86%,"1,000",135,667.984M,14.07
RU6.F,PT Solusi Bangun Indonesia Tbk,0.0545,-0.0005,-0.91%,"30,000",536,667.069M,5.45
32N.F,New Gold Inc.,0.9750,-0.0350,-3.47%,970,"1,973",666.023M,N/A
48M.F,Foran Mining Corporation,2.3000,+0.0600,+2.68%,"1,500",28,688.385M,N/A
KO9.F,Koppers Holdings Inc.,31.20,+0.20,+0.65%,62,5,656.526M,9.78
W2F.F,The Straits Trading Company Limited,1.3900,-0.0100,-0.71%,24,0,650.943M,1.58
FEX.F,Ferrexpo plc,1.0560,-0.0220,-2.04%,"2,409","1,620",631.633M,3.11
ST5.DE,STEICO SE,44.65,-0.95,-2.08%,"8,673","18,839",628.828M,12.40
FEX0.F,Ferrexpo plc,4.0800,-0.0200,-0.49%,100,1,626.545M,3.07
34T1.F,Tiangong International Company Limited,0.2240,+0.0020,+0.90%,750,0,621.6M,11.20
NE0.F,Nexa Resources S.A.,4.6600,-0.2600,-5.28%,180,3,617.758M,N/A
HOF.F,Essentra plc,2.0000,-0.1200,-5.66%,"1,000",202,617.058M,N/A
34T1.MU,Tiangong International Company Limited,0.2220,0.0000,0.00%,250,0,616.05M,11.10
XSI.F,"Sanyo Chemical Industries,Ltd.",26.80,-0.20,-0.74%,26,0,608.341M,16.24
5ER.F,"Origin Materials, Inc.",4.2050,-0.1850,-4.21%,"1,000",86,603.161M,7.79
4SL.F,Silver Lake Resources Limited,0.6440,+0.0180,+2.88%,"22,909","15,964",598.755M,64.40
0BQ.MU,Norske Skog ASA,4.0120,0.0000,0.00%,750,59,374.236M,2.08
TO7.F,"Toyobo Co., Ltd.",6.45,-0.10,-1.53%,420,11,586.093M,8.16
CHX.F,Ciech S.A.,10.84,+0.24,+2.26%,35,152,579.668M,4.86
8JI.F,i-80 Gold Corp.,2.0400,0.0000,0.00%,"6,100",171,576.043M,N/A
8JI.MU,i-80 Gold Corp.,2.0880,-0.0180,-0.85%,"1,500",288,572.799M,N/A
1A9.F,Asante Gold Corporation,1.3050,+0.0100,+0.77%,"4,600","1,782",573.001M,N/A
8JI.DU,i-80 Gold Corp.,2.0140,+0.0060,+0.30%,"4,000",71,558.331M,N/A
