Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
BRE.F,Banco Bradesco S.A.,3.1400,0.0000,0.00%,"1,000","1,668",32.042B,10.13
PIR.F,The People's Insurance Company (Group) of China Limited,0.3500,+0.0020,+0.57%,"5,185",0,30.326B,5.00
BOF.F,BOC Hong Kong (Holdings) Limited,2.7780,-0.0430,-1.52%,"6,900","1,140",29.822B,9.26
PQ9.F,PT Bank Mandiri (Persero) Tbk,0.2840,-0.0020,-0.70%,200,741,29.306B,9.47
PLL.DE,"Prudential Financial, Inc.",79.26,0.00,0.00%,5,162,28.93B,63.92
PQ90.F,PT Bank Mandiri (Persero) Tbk,11.80,-0.10,-0.84%,70,0,28.904B,10.09
PLL.F,"Prudential Financial, Inc.",78.62,-0.60,-0.76%,14,38,28.881B,64.44
ASG0.F,Assicurazioni Generali S.p.A.,9.20,+0.05,+0.55%,350,0,28.683B,9.89
ASG.F,Assicurazioni Generali S.p.A.,18.86,+0.01,+0.05%,100,383,28.47B,10.03
ASG.DE,Assicurazioni Generali S.p.A.,18.77,-0.13,-0.69%,"7,016","1,401",28.334B,10.15
BCY.DE,Barclays PLC,1.8046,+0.0020,+0.11%,"49,562","96,593",28.067B,4.75
BCY.F,Barclays PLC,1.8026,-0.0384,-2.09%,"1,750","3,690",28.088B,4.74
RYSD.F,NatWest Group plc,3.0000,-0.0710,-2.31%,"8,000","1,255",27.242B,6.12
BCY2.F,Barclays PLC,7.15,-0.15,-2.05%,400,0,28.024B,4.67
ALS.DE,The Allstate Corporation,105.00,0.00,0.00%,15,27,27.708B,N/A
FV9J.F,"CaixaBank, S.A.",1.1800,+0.0100,+0.85%,"1,550",0,27.508B,9.08
STD.F,Standard Chartered PLC,8.01,+0.25,+3.17%,300,86,22.54B,9.54
48CA.F,"CaixaBank, S.A.",3.6610,+0.0050,+0.14%,"1,385",427,27.439B,9.15
LIE.F,Sun Life Financial Inc.,46.40,0.00,0.00%,20,3,27.397B,12.34
BZLA.F,Banco do Brasil S.A.,9.25,-0.35,-3.65%,381,880,27.396B,3.85
0QN.F,Ares Management Corporation,86.91,+0.03,+0.03%,121,9,27.105B,84.38
RYS.F,NatWest Group plc,6.05,0.00,0.00%,396,28,27.096B,6.24
DC7.F,Discover Financial Services,106.40,-1.15,-1.07%,220,10,27.051B,7.52
ALS.F,The Allstate Corporation,100.00,-2.00,-1.96%,15,3,26.901B,N/A
KDB0.F,KBC Group NV,31.00,0.00,0.00%,80,1,26.402B,8.27
KDB.F,KBC Group NV,63.12,+0.04,+0.06%,5,46,26.332B,8.32
SR9A.F,Swiss Re AG,22.40,-0.40,-1.75%,40,72,26.172B,60.54
D1NC.F,DNB Bank ASA,16.68,+0.19,+1.18%,200,56,25.911B,8.69
5JP.F,"JAPAN POST BANK Co., Ltd.",6.95,0.00,0.00%,30,0,25.874B,12.64
D1N.MU,DNB Bank ASA,16.50,+0.10,+0.61%,100,0,25.862B,8.59
D1N.SG,DNB Bank ASA,16.60,+0.30,+1.84%,0,0,25.86B,8.51
5JP0.F,"JAPAN POST BANK Co., Ltd.",6.80,0.00,0.00%,400,0,25.685B,12.36
HSB.F,Hang Seng Bank Limited,13.30,0.00,0.00%,130,26,25.517B,22.93
GWS.F,Great-West Lifeco Inc.,26.40,-0.20,-0.75%,270,7,24.95B,14.27
PJC.F,PICC Property and Casualty Company Limited,1.1300,+0.0300,+2.73%,734,640,24.788B,7.06
I5U.F,Intact Financial Corporation,136.00,-1.00,-0.73%,3,2,23.962B,15.35
RSK.F,Arch Capital Group Ltd.,64.00,-0.50,-0.78%,70,1,23.835B,13.45
NAQ.DE,"Nasdaq, Inc.",48.07,+0.49,+1.03%,203,271,23.776B,22.57
SEBC.F,Skandinaviska Enskilda Banken AB (publ),11.08,+0.16,+1.47%,66,0,22.261B,9.47
TR1.F,"T. Rowe Price Group, Inc.",104.20,+2.48,+2.44%,1,39,23.527B,18.25
NAQ.F,"Nasdaq, Inc.",47.52,+0.50,+1.06%,140,132,23.321B,22.10
TR1.DE,"T. Rowe Price Group, Inc.",103.74,+0.66,+0.64%,118,80,23.297B,18.01
HNR1.DE,Hannover Rück SE,191.20,+0.55,+0.29%,"97,470","131,550",23.247B,15.91
HNRB.F,Hannover Rück SE,94.50,-1.50,-1.56%,19,0,23.022B,15.57
NBC.F,National Bank of Canada,68.50,+0.50,+0.74%,75,16,23.407B,10.35
WTY.F,Willis Towers Watson Public Limited Company,210.00,+2.00,+0.96%,45,0,22.965B,21.97
HNR1.F,Hannover Rück SE,190.00,-0.10,-0.05%,583,325,22.943B,15.57
ZYA.F,State Street Corporation,67.98,+0.54,+0.80%,50,23,22.723B,10.12
IGQ5.F,3i Group plc,23.34,+0.06,+0.26%,44,19,22.717B,5.07
6EQ.F,EQT AB (publ),19.05,-0.24,-1.24%,339,155,22.576B,105.81
SEBA.F,Skandinaviska Enskilda Banken AB (publ),10.37,+0.18,+1.77%,1,70,21.856B,8.57
1JP.F,"Japan Post Holdings Co., Ltd.",6.50,-0.10,-1.52%,150,0,22.524B,7.22
ZYA.DE,State Street Corporation,67.22,0.00,0.00%,60,111,22.469B,10.33
C0V.F,China Everbright Bank Company Limited,0.2800,-0.0020,-0.71%,562,246,22.135B,3.11
IGQ.F,3i Group plc,11.30,0.00,0.00%,25,2,22.123B,4.91
4FN.F,"Grupo Financiero Banorte, S.A.B. de C.V.",7.60,+0.05,+0.66%,120,71,21.914B,8.00
STD0.F,Standard Chartered PLC,15.30,+0.20,+1.32%,500,8,22.084B,9.00
SMPA.F,Sampo Oyj,42.69,+0.19,+0.45%,100,50,21.6B,20.43
SMP.F,Sampo Oyj,42.10,+0.15,+0.36%,200,0,21.517B,20.05
HFF.F,"The Hartford Financial Services Group, Inc.",64.50,-0.50,-0.77%,4,5,20.01B,11.97
HFF.SG,"The Hartford Financial Services Group, Inc.",64.50,0.00,0.00%,0,0,20.01B,11.97
FSR.F,FirstRand Limited,34.00,+0.20,+0.59%,2,0,19.568B,10.93
FSRA.F,FirstRand Limited,3.4200,+0.0200,+0.59%,"1,500",176,19.566B,10.69
DBK.DE,Deutsche Bank Aktiengesellschaft,9.46,-0.17,-1.82%,17.937M,13.129M,19.281B,3.89
DBK.F,Deutsche Bank Aktiengesellschaft,9.41,-0.24,-2.46%,"86,642","102,374",19.152B,3.87
DSN.F,Danske Bank A/S,22.00,+0.42,+1.95%,100,60,18.995B,N/A
RJF.F,"Raymond James Financial, Inc.",90.50,0.00,0.00%,50,0,19.3B,12.60
MTZ.F,M&T Bank Corporation,113.80,+0.80,+0.71%,10,3,18.876B,9.40
DSN0.MU,Danske Bank A/S,10.70,0.00,0.00%,N/A,0,18.788B,N/A
SGE.F,Société Générale Société anonyme,23.31,+0.26,+1.15%,"4,711","1,315",18.694B,14.66
SGE.DE,Société Générale Société anonyme,23.26,+0.08,+0.32%,"4,092","12,495",18.642B,14.27
