Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
TYG.F,Tingyi (Cayman Islands) Holding Corp.,1.3300,-0.0300,-2.21%,24,0,8.011B,22.17
6BE.F,"Becle, S.A.B. de C.V.",2.2200,0.0000,0.00%,135,9,7.972B,27.75
NF2.F,"Nissin Foods Holdings Co.,Ltd.",79.00,+0.50,+0.64%,25,2,7.945B,30.86
KEK.F,Kesko Oyj,19.08,-0.00,-0.03%,5,20,7.731B,12.89
SUY1.F,J Sainsbury plc,3.1600,+0.0010,+0.03%,950,102,7.59B,31.60
8BJ.F,"BJ's Wholesale Club Holdings, Inc.",56.00,-0.50,-0.88%,90,4,7.611B,15.86
YJ3A.SG,JBS S.A.,6.60,+0.05,+0.76%,0,34,7.551B,4.29
SUY.F,J Sainsbury plc,12.50,+0.10,+0.81%,300,0,7.535B,29.76
RMC.F,Rémy Cointreau SA,147.35,+2.05,+1.41%,8,6,7.531B,25.58
RMC0.F,Rémy Cointreau SA,14.20,+0.10,+0.71%,25,2,7.444B,24.48
4HQ.F,Want Want China Holdings Limited,0.5950,-0.0050,-0.83%,"2,212",164,7.155B,14.88
HSZ.F,PT Hanjaya Mandala Sampoerna Tbk,0.0580,0.0000,0.00%,"7,500",0,7.101B,N/A
OKL0.F,Orkla ASA,6.50,+0.05,+0.78%,300,11,6.726B,14.44
6BH.F,Endeavour Group Limited,3.7000,+0.0600,+1.65%,65,8,6.709B,19.47
OKL.F,Orkla ASA,6.67,-0.06,-0.83%,230,239,6.655B,14.51
0WH.F,WH Group Limited,0.4740,+0.0120,+2.60%,530,581,6.492B,4.74
N1U0.F,New Oriental Education & Technology Group Inc.,3.8600,+0.1200,+3.21%,"1,600",55,6.56B,N/A
N1UA.F,New Oriental Education & Technology Group Inc.,38.40,+0.20,+0.52%,40,15,6.526B,N/A
0WHS.F,WH Group Limited,9.55,+0.05,+0.53%,22,0,6.267B,4.82
CNP.F,Ingredion Incorporated,97.40,-2.10,-2.11%,"2,000",57,6.44B,12.63
C15.F,Empire Company Limited,23.80,0.00,0.00%,91,50,6.168B,13.08
3M0.F,"Meiji Holdings Co., Ltd.",20.60,0.00,0.00%,40,9,5.875B,11.26
3M00.F,"Meiji Holdings Co., Ltd.",10.10,0.00,0.00%,N/A,0,5.818B,10.86
JEPA.SG,SalMar ASA,9.50,-0.05,-0.52%,0,0,5.755B,14.18
JEP.F,SalMar ASA,39.22,-1.11,-2.75%,"1,121",218,5.692B,14.69
49K.SG,KOSÉ Corporation,93.50,+3.00,+3.31%,0,0,5.424B,55.00
3G3B.F,"Gruma, S.A.B. de C.V.",14.60,-0.20,-1.35%,10,41,5.401B,17.59
CC5.F,"Coca-Cola Consolidated, Inc.",580.00,-15.00,-2.52%,95,4,5.388B,12.90
49K.F,KOSÉ Corporation,92.00,+2.50,+2.79%,100,0,5.345B,54.12
59G.F,"Kobe Bussan Co., Ltd.",23.80,-0.20,-0.83%,130,0,5.307B,46.67
0CP1.F,PT Charoen Pokphand Indonesia Tbk,0.2960,+0.0020,+0.68%,350,0,5.18B,29.60
T7W.F,Treasury Wine Estates Limited,7.05,0.00,0.00%,400,7,5.172B,23.50
T7W0.MU,Treasury Wine Estates Limited,7.05,0.00,0.00%,N/A,0,5.172B,23.50
2PO.F,"Post Holdings, Inc.",80.50,+1.00,+1.26%,7,0,5.147B,13.33
0EF.F,"e.l.f. Beauty, Inc.",93.50,-2.50,-2.60%,8,17,5.089B,92.57
2GCB.F,"Grupo Comercial Chedraui, S.A.B. de C.V.",5.20,+0.22,+4.42%,420,52,4.989B,14.05
8UX.F,Pepco Group N.V.,8.39,+0.01,+0.12%,200,3,4.946B,29.96
6PP.F,Pilgrim's Pride Corporation,19.70,-0.70,-3.43%,800,0,4.771B,10.65
FWF.F,"Flowers Foods, Inc.",22.40,-0.20,-0.88%,1,7,4.745B,22.40
HGNC.F,Hengan International Group Company Limited,4.0280,-0.0300,-0.74%,9,151,4.714B,19.18
LC1.F,Lancaster Colony Corporation,170.00,-4.00,-2.30%,150,4,4.704B,39.08
AXL.F,Axfood AB (publ),20.20,+0.50,+2.54%,500,0,4.564B,24.05
EFC.MU,Etn. Fr. Colruyt NV,8.15,0.00,0.00%,N/A,0,4.559B,19.40
EFC1.F,Etn. Fr. Colruyt NV,33.98,-0.16,-0.47%,25,6,4.556B,20.72
0EF.DU,"e.l.f. Beauty, Inc.",94.50,+0.50,+0.53%,14,0,5.086B,113.86
AXL1.F,Axfood AB (publ),20.61,-0.48,-2.28%,2,3,4.515B,24.54
6AA0.F,AAK AB (publ.),17.16,+0.15,+0.88%,100,23,4.494B,27.24
I8P.F,Interparfums SA,69.60,+0.80,+1.16%,2,15,4.466B,53.54
05M.F,Dali Foods Group Company Limited,0.2940,-0.0080,-2.65%,992,35,4.38B,9.80
0R1.F,Royal Unibrew A/S,84.60,+0.44,+0.52%,200,4,4.413B,21.69
D51.F,"BellRing Brands, Inc.",32.80,0.00,0.00%,12,1,4.406B,28.28
03F.F,IDP Education Limited,14.90,+0.40,+2.76%,20,15,4.279B,49.67
NVAV.F,Charoen Pokphand Foods Public Company Limited,0.5300,-0.0050,-0.93%,5,0,4.277B,26.50
CPOF.F,Charoen Pokphand Foods Public Company Limited,0.5300,-0.0050,-0.93%,"1,000",35,4.277B,26.50
0OC.F,Ocado Group plc,5.05,+0.29,+6.09%,57,282,4.213B,N/A
0OC1.F,Ocado Group plc,9.00,+0.45,+5.26%,100,1,4.236B,N/A
KOY.F,"Kobayashi Pharmaceutical Co., Ltd.",52.50,+0.50,+0.96%,66,16,4.085B,30.35
20V.F,National Beverage Corp.,43.00,-0.20,-0.46%,25,0,4.08B,31.62
JF1.F,"Inter Parfums, Inc.",126.00,+3.00,+2.44%,20,11,4.036B,30.88
ISM.F,PT Indofood Sukses Makmur Tbk,0.4320,-0.0060,-1.37%,"2,261","2,995",3.951B,8.64
LAW.F,"Lawson, Inc.",39.20,-0.60,-1.51%,8,2,3.923B,18.67
COC.F,L'Occitane International S.A.,2.6400,+0.0650,+2.52%,"2,000",702,3.889B,16.50
IZZ.F,TAL Education Group,6.10,0.00,0.00%,500,543,4.016B,N/A
BBEA.F,"The Boston Beer Company, Inc.",305.50,0.00,0.00%,25,0,3.767B,66.92
K25.F,Olam Group Limited,0.9450,0.0000,0.00%,"1,000","1,014",3.783B,8.59
D7V.F,PT Mayora Indah Tbk,0.1560,-0.0010,-0.64%,"2,500",89,3.721B,15.60
GL9.F,Glanbia plc,13.14,+0.04,+0.31%,"1,177",28,3.652B,18.25
NFR.F,Nisshin Seifun Group Inc.,11.80,-0.10,-0.84%,1,0,3.578B,N/A
58U.F,Uni-President China Holdings Ltd,0.8000,-0.0050,-0.6211%,671,135,3.572B,20.00
SZU1.F,Südzucker AG,8.10,0.00,0.00%,62,6,3.542B,8.53
6BF.F,P/F Bakkafrost,59.50,-0.80,-1.33%,250,68,3.521B,18.09
SZU.F,Südzucker AG,16.93,-0.01,-0.06%,559,"1,199",3.523B,8.91
SZU.DE,Südzucker AG,16.97,+0.01,+0.06%,"79,103","216,320",3.505B,8.88
TLYB.F,Tate & Lyle plc,8.61,-0.24,-2.71%,134,277,3.46B,23.93
OL6.F,"Ollie's Bargain Outlet Holdings, Inc.",55.50,0.00,0.00%,50,0,3.43B,31.36
DFA1.F,DFI Retail Group Holdings Limited,2.4800,-0.0400,-1.59%,510,0,3.428B,N/A
4FX.F,"Kimberly-Clark de México, S. A. B. de C. V.",2.1000,+0.0200,+0.96%,"7,500",83,3.422B,23.33
41G1.SG,Greggs plc,31.40,-0.20,-0.63%,0,1,5.043B,39.95
1FA.F,"Sprouts Farmers Market, Inc.",31.63,-0.82,-2.53%,10,11,3.318B,14.25
41G1.F,Greggs plc,31.20,0.00,0.00%,146,15,3.273B,22.77
76L.SG,The Simply Good Foods Company,32.40,-0.40,-1.22%,0,1,3.226B,27.00
NWL.F,Newell Brands Inc.,7.73,+0.05,+0.68%,264,315,3.199B,N/A
GGG.F,PT Gudang Garam Tbk,1.5800,-0.0200,-1.25%,250,89,3.187B,13.17
8PO.F,Pola Orbis Holdings Inc.,13.70,+0.10,+0.74%,100,5,3.138B,65.24
5P7.F,Premium Brands Holdings Corporation,69.50,+1.50,+2.21%,15,0,3.115B,30.35
7FP.F,"Freshpet, Inc.",59.80,-1.84,-2.99%,273,4,2.932B,N/A
GKD.F,"Grand Canyon Education, Inc.",94.50,+1.00,+1.07%,12,0,2.904B,17.31
3CM.F,RLX Technology Inc.,1.7600,0.0000,0.00%,"1,200",33,2.993B,25.14
0NH.F,Nomad Foods Limited,16.30,+0.30,+1.87%,50,109,2.882B,11.99
31V.F,Vinda International Holdings Limited,2.3400,+0.0400,+1.74%,400,7,2.859B,33.43
H221.F,"Spectrum Brands Holdings, Inc.",68.50,0.00,0.00%,75,1,2.809B,N/A
JJ1.MU,J&J Snack Foods Corp.,143.00,-1.00,-0.69%,17,0,2.753B,64.13
B4B.DE,Metro AG,7.44,-0.03,-0.33%,"36,652","146,292",2.708B,15.83
B4B.F,Metro AG,7.45,-0.01,-0.20%,168,605,2.702B,15.86
T4H.F,"TreeHouse Foods, Inc.",47.60,-1.00,-2.06%,120,0,2.681B,158.67
JJ1.SG,J&J Snack Foods Corp.,139.00,-2.00,-1.42%,0,0,2.678B,62.05
B6S.SG,Britvic plc,10.20,-0.10,-0.97%,0,1,2.672B,15.69
B6S.F,Britvic plc,10.30,0.00,0.00%,858,17,2.672B,15.61
NI6.F,NH Foods Ltd.,25.60,0.00,0.00%,180,0,2.667B,11.13
