05. Mai 2011,Delisted (Notierungsaufnahme),Zenith Mobile Communications PLC, -kein-,None,None," € 0,03 "," € 150.000,00"
04. Mai 2011,Delisted (Notierungsaufnahme),2 Up Gaming PLC, -kein-,None,None," € 0,10 "," € 28.974.966,00"
04. Mai 2011,Delisted (Notierungsaufnahme),Wall Street Equities Ltd., -kein-,None,None," € 0,01 "," € 100.000,00"
02. Mai 2011,Delisted (Notierungsaufnahme),AAIC Bullion Refineries Group Ltd, -kein-,None,None," € 4,15 "," € 166.000.000,00"
02. Mai 2011,Delisted (Notierungsaufnahme),BR-Energy PLC, -kein-,None,None," € 0,10 "," € 500.000,00"
26. Apr 2011,Delisted (Notierungsaufnahme),Protech Technology Inc., -kein-,None,None," € 0,03 "," € 150.000,00"
21. Apr 2011,Delisted (Notierungsaufnahme),Global Precious Commodities PLC, -kein-,None,None," € 0,10 "," € 500.000,00"
21. Apr 2011,Delisted (Notierungsaufnahme),ROK Stars PLC, -kein-,None,None," € 0,10 "," € 500.000,00"
18. Apr 2011,Delisted (Notierungsaufnahme),Global I-Care PLC, -kein-,None,None," € 0,01 "," € 60.000,00"
15. Apr 2011,Delisted (Notierungsaufnahme),Clean Bioenergy Inc., -kein-,None,None," € 1,00 "," € 5.000.000,00"
15. Apr 2011,Delisted (Notierungsaufnahme),American Soccer Corp., -kein-,None,None," € 1,05 "," € 5.250.000,00"
15. Apr 2011,Delisted (Notierungsaufnahme),Tsunami Bioreactor Company Ltd., -kein-,None,None,None,None
15. Apr 2011,Delisted (Notierungsaufnahme),Menasat Gulf Group Ltd., -kein-,None,None," € 2,80 "," € 14.000.064,00"
07. Apr 2011,Delisted (Notierungsaufnahme),Femin Inc., -kein-,None,None," € 1,00 "," € 9.953.005,00"
05. Apr 2011,Delisted (Notierungsaufnahme),Lirefa Protection PLC, -kein-,None,None," € 1,40 "," € 6.160.000,00"
05. Apr 2011,Delisted (Notierungsaufnahme),City Windmills Ltd., -kein-,None,None," € 1,50 "," € 15.000.000,00"
04. Apr 2011,Delisted (Notierungsaufnahme),Auris AG, -kein-,None,None," € 1,00 "," € 30.000.000,00"
01. Apr 2011,Delisted (Notierungsaufnahme),Awesome Investments Inc., -kein-,None,None," € 1,02 "," € 765.000,00"
30. Mär 2011,Delisted (Notierungsaufnahme),Opera One AG, Finanzdienstleistung,None,None," € 10,05 "," € 201.000,00"
29. Mär 2011,Delisted (Notierungsaufnahme),Nozomi PLC, -kein-,None,None," € 0,89 "," € 4.495.000,00"
25. Mär 2011,Delisted (Notierungsaufnahme),Rototec Geothermal Energy PLC, -kein-,None,None," € 3,10 "," € 31.000.000,00"
21. Mär 2011,Delisted (Notierungsaufnahme),BAS LOgistics PLC, -kein-,None,None," € 2,72 "," € 13.600.000,00"
21. Mär 2011,Delisted (Notierungsaufnahme),World Wide Search PLC, -kein-,None,None,None,None
21. Mär 2011,Delisted (Notierungsaufnahme),Grupo Acerosa PLC, -kein-,None,None," € 0,10 "," € 510.000,00"
16. Mär 2011,Delisted (Notierungsaufnahme),eCentra AG, -kein-,None,None," € 4,60 "," € 1.150.000,00"
15. Mär 2011,Delisted (Notierungsaufnahme),ORIENT Strategies AG, -kein-,None,None," € 1,60 "," € 800.000,00"
14. Mär 2011,Delisted (Notierungsaufnahme),Eldora Gold Resources Ltd., -kein-,None,None," € 1,15 "," € 7.877.500,00"
24. Feb 2011,Delisted (Notierungsaufnahme),MyContract24 AG, -kein-,None,None," € 1,49 "," € 13.730.350,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Global Earth Products Inc., -kein-,None,None,None,None
14. Feb 2011,Delisted (Notierungsaufnahme),Incan Gold Corp., -kein-,None,None," € 1,03 "," € 2.060.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),MOBILLER COMMUNICATIONS Inc., -kein-,None,None," € 2,00 "," € 4.000.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Revolutionary Concepts Inc., -kein-,None,None,None,None
14. Feb 2011,Delisted (Notierungsaufnahme),Stethuscope International Inc., -kein-,None,None," € 0,80 "," € 2.400.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Formula Resources Inc., -kein-,None,None," € 2,04 "," € 3.060.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Novus Oil Inc., -kein-,None,None," € 1,00 "," € 1.500.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),BSS Global Inc., -kein-,None,None," € 0,81 "," € 4.050.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Cariboo Gold Mines PLC, -kein-,None,None," € 0,81 "," € 20.250.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),First Global Energy PLC, -kein-,None,None," € 0,30 "," € 38.794.630,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Cinco Investments PLC, -kein-,None,None," € 15,00 "," € 3.750.000.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Underseas Research & Recovery Ltd., -kein-,None,None," € 0,29 "," € 2.175.000,00"
14. Feb 2011,Delisted (Notierungsaufnahme),Millhouse Inc. PLC, -kein-,None,None," € 0,08 "," € 20.060.800,00"
11. Feb 2011,Delisted (Notierungsaufnahme),Zhihai Lighting Technology AG, -kein-,None,None," € 1,00 "," € 250.000,00"
11. Feb 2011,Delisted (Notierungsaufnahme),Mobile Loyalty PLC, -kein-,None,None," € 0,50 "," € 12.500.000,00"
11. Feb 2011,Delisted (Notierungsaufnahme),Giantcode Corporation PLC, -kein-,None,None," € 5,10 "," € 105.315.000,00"
11. Feb 2011,Delisted (Notierungsaufnahme),Mercantil Financial Services Ltd., -kein-,None,None,None,None
10. Feb 2011,Delisted (Notierungsaufnahme),Hutchison Minerals Co. Ltd., -kein-,None,None," € 0,34 "," € 884.000,00"
10. Feb 2011,Delisted (Notierungsaufnahme),Visi Inc PLC, -kein-,None,None," € 1,50 "," € 7.500.000,00"
10. Feb 2011,Delisted (Notierungsaufnahme),Sunlogics PLC, -kein-,None,None," € 1,38 "," € 6.900.000,00"
09. Feb 2011,Delisted (Notierungsaufnahme),First Newgate Petroleum Resources Co. Ltd., -kein-,None,None," € 0,05 "," € 187.500,00"
09. Feb 2011,Delisted (Notierungsaufnahme),AlgoSys Germany AG, -kein-,None,None," € 2,00 "," € 800.000,00"
09. Feb 2011,Delisted (Notierungsaufnahme),Worldwide Natural Resources PLC, -kein-,None,None," € 0,23 "," € 2.979.841,59"
09. Feb 2011,Delisted (Notierungsaufnahme),YD Ynvisible S.A., -kein-,None,None," € 3,00 "," € 30.000.000,00"
08. Feb 2011,Delisted (Notierungsaufnahme),Bonifaz Gold PLC, -kein-,None,None, - ," € 101.920.000,00"
07. Feb 2011,Delisted (Notierungsaufnahme),WorldWide Water Technologies PLC, -kein-,None,None," € 0,20 "," € 5.000.000,00"
07. Feb 2011,Delisted (Notierungsaufnahme),WorldWide Papa's PLC, -kein-,None,None," € 0,75 "," € 45.000.000,00"
07. Feb 2011,Delisted (Notierungsaufnahme),WMX Group Inc., -kein-,None,None," € 0,05 "," € 246.500,00"
07. Feb 2011,Delisted (Notierungsaufnahme),Curaxis Pharmaceutical Corp., -kein-,None,None," € 0,60 "," € 43.329.893,00"
07. Feb 2011,Delisted (Notierungsaufnahme),MRE Resources Inc., -kein-,None,None,None,None
02. Feb 2011,Delisted (Notierungsaufnahme),Cannabis Medical Solutions Inc., -kein-,None,None,None,None
02. Feb 2011,Delisted (Notierungsaufnahme),Rockberries PLC, -kein-,None,None," € 2,41 "," € 60.475.000,00"
02. Feb 2011,Delisted (Notierungsaufnahme),Integral Bioenergies Systems Corp., -kein-,None,None," € 2,07 "," € 25.937.500,00"
01. Feb 2011,Delisted (Notierungsaufnahme),Cubo Energy PLC, -kein-,None,None,None,None
31. Jan 2011,Delisted (Notierungsaufnahme),GOLD CAP RESOURCES INC., -kein-,None,None," € 0,49 "," € 1.711.500,00"
28. Jan 2011,Delisted (Notierungsaufnahme),Texas Petroleum Inc., -kein-,None,None,None,None
28. Jan 2011,Delisted (Notierungsaufnahme),Spagetti Place PLC, -kein-,None,None,None,None
28. Jan 2011,Delisted (Notierungsaufnahme),Dia Dental Aesthetics International Inc., -kein-,None,None," € 1,80 "," € 18.000.000,00"
19. Jan 2011,Delisted (Notierungsaufnahme),Mayberry Resources PLC, -kein-,None,None," € 0,50 "," € 12.500.000,00"
18. Jan 2011,Delisted (Notierungsaufnahme),Crestwood Point Gas & Oil Co. Ltd., -kein-,None,None," € 0,55 "," € 2.062.500,00"
18. Jan 2011,Delisted (Notierungsaufnahme),Minerals Mining PLC, -kein-,None,None," € 83,00 "," € 83.000.000,00"
18. Jan 2011,Delisted (Notierungsaufnahme),Maxray Optical Technology Co. Ltd., -kein-,None,None," € 0,40 "," € 12.691.540,00"
18. Jan 2011,Delisted (Notierungsaufnahme),Bentley Fairview Resources Co. Ltd., -kein-,None,None," € 1,49 "," € 6.705.000,00"
17. Jan 2011,Delisted (Notierungsaufnahme),Voice 1 direct Ltd., -kein-,None,None," € 1,58 "," € 62.031.239,24"
17. Jan 2011,Delisted (Notierungsaufnahme),AU Minera Corp., -kein-,None,None," € 1,29 "," € 2.580.000,00"
13. Jan 2011,Delisted (Notierungsaufnahme),House of Cool International Inc., -kein-,None,None," € 0,06 "," € 210.000,00"
03. Jan 2011,Delisted (Notierungsaufnahme),Nichenetmarketing PLC, -kein-,None,None," € 2,50 "," € 12.500.000,00"
03. Jan 2011,Delisted (Notierungsaufnahme),R Minus PLC, -kein-,None,None," € 1,20 "," € 6.000.000,00"
02. Jan 2011,Delisted (Notierungsaufnahme),Weng Fine Art AG, Handel,None,None," € 16,00 "," € 8.000.000,00"
29. Dez 2010,Delisted (Notierungsaufnahme),Grandall Solutions Inc., -kein-,None,None," € 0,08 "," € 2.008.000,00"
17. Dez 2010,Delisted (Notierungsaufnahme),PEARL GOLD AG, -kein-,None,None," € 7,50 "," € 76.875.000,00"
16. Dez 2010,Delisted (Notierungsaufnahme),Cannascor I AG, -kein-,None,None,None,None
16. Dez 2010,Delisted (Notierungsaufnahme),Sahara Petroleum Exploration Corp., -kein-,None,None," € 5,00 "," € 102.280.000,00"
15. Dez 2010,Delisted (Notierungsaufnahme),Local View Marketing Inc., -kein-,None,None,None,None
15. Dez 2010,Delisted (Notierungsaufnahme),Live Green Germ Free PLC, -kein-,None,None," € 1,45 "," € 36.250.000,00"
15. Dez 2010,Delisted (Notierungsaufnahme),Biosphere Development Corp., -kein-,None,None," € 6,00 "," € 122.736.000,00"
14. Dez 2010,Delisted (Notierungsaufnahme),Botaniex PLC, -kein-,None,None," € 1,03 "," € 6.044.040,00"
10. Dez 2010,Delisted (Notierungsaufnahme),Remote Security PLC, -kein-,None,None,None,None
10. Dez 2010,Delisted (Notierungsaufnahme),Sinaloa Gold PLC, -kein-,None,None," € 1,11 "," € 38.011.427,00"
10. Dez 2010,Delisted (Notierungsaufnahme),CBF China Bio-Fertilizer AG, Chemie,None,None," € 6,80 "," € 47.736.000,00"
06. Dez 2010,Delisted (Notierungsaufnahme),Guardians of Gold Inc., -kein-,None,None," € 1,15 "," € 57.656.400,00"
06. Dez 2010,Delisted (Notierungsaufnahme),Ticker Communications Inc., -kein-,None,None," € 0,75 "," € 12.186.123,00"
06. Dez 2010,Delisted (Notierungsaufnahme),Sikafo Gold Mines Ltd., -kein-,None,None," € 0,01 "," € 45.000,00"
06. Dez 2010,Delisted (Notierungsaufnahme),"Solerex Water Technologies Co.Ltd.,", -kein-,None,None,None,None
03. Dez 2010,Delisted (Notierungsaufnahme),Loto Inc., -kein-,None,None,None,None
30. Nov 2010,Delisted (Notierungsaufnahme),World Energy Holdings and Research PLC, -kein-,None,None," € 3,10 "," € 697.500,00"
26. Nov 2010,Delisted (Notierungsaufnahme),Gulf Projects PLC, -kein-,None,None," € 5,15 "," € 257.500.103,00"
24. Nov 2010,Delisted (Notierungsaufnahme),Phone Cash Mobile Payment Inc., -kein-,None,None,None,None
22. Nov 2010,Delisted (Notierungsaufnahme),Black Hawk Petroleum Inc., -kein-,None,None,None,None
19. Nov 2010,Delisted (Notierungsaufnahme),Now Advertising Production PLC, -kein-,None,None," € 0,20 "," € 60.000,00"
